14,17
10,10,10,10,10,10,10,10,10,10,10,10,10,10,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,
10,10,10,10,10,10,161,161,161,10,10,10,10,10,
10,10,10,161,161,161,161,10,161,161,10,10,10,10,
10,10,161,161,10,10,10,10,10,161,10,10,10,10,
10,10,161,10,10,10,10,10,10,10,161,10,10,10,
10,10,161,10,10,10,10,10,10,10,161,10,10,10,
10,10,161,10,10,10,10,10,10,10,161,10,10,10,
10,10,10,161,10,10,10,10,10,10,161,10,10,10,
10,10,10,161,161,10,10,10,10,10,161,10,10,10,
10,10,10,10,10,161,161,161,10,10,120,10,10,10,
10,10,10,10,10,10,10,10,10,10,120,10,10,10,
10,10,10,10,10,10,10,10,10,10,120,10,10,10,
10,10,120,10,10,10,10,10,10,10,120,10,10,10,
10,10,120,120,10,10,10,10,10,120,120,10,10,10,
10,10,10,120,120,120,120,120,120,10,10,10,10,10,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,
